Naïve RL,Dimension RL,Rule-based Naïve RL,Dimension RL + Info,Dimension RL + Decay (by Beta),Dimension RL + Decay (by Info)
-161.9720794,-177.5151071,-135.5159372,-224.5626151,-99.35184,-103.0249266
-239.2800221,-190.6304804,-213.3906226,-182.0921411,-170.2793,-167.8740285
-240.4684637,-192.3661379,-178.5229441,-192.3665857,-177.7158,-187.7827331
-221.5651886,-211.3988312,-204.3350751,-211.3937648,-208.7432,-204.7643997
-229.1264111,-190.9609567,-191.1875057,-191.7589537,-157.0439,-159.069166
-215.0486663,-204.9452854,-197.669227,-204.9482652,-164.5442,-171.8517138
-214.4679706,-168.9165064,-169.6509922,-163.8072442,-144.0513,-144.5837278
-183.6360712,-180.3126114,-174.9520717,-180.3126114,-134.5797,-146.4129445
-207.3175416,-176.7650447,-157.4192711,-201.0551962,-176.0602,-175.2640225
-202.9511242,-179.1820979,-169.6780848,-179.7219022,-149.405,-153.0801198
-214.8768007,-206.8070629,-201.8646307,-207.1732058,-171.3014,-179.9818322
-189.4587403,-157.2072874,-134.6942829,-157.2076331,-116.6916,-119.4214822
-287.8448738,-251.5852291,-227.3949212,-214.6192165,-203.0038,-199.4998707
