log_filename,agent_name,Fit_function,xranges,x0,LL,x,y,z,LL_grid
log/01.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.01,8.65,0.04",177.51510710586533,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 436.85, 433.02, 432.38, 954.59, 948.52, 949.14,1208.82,1199.89,1199.8 ,
  509.41, 505.73, 504.1 ,1058.93,1052.57,1051.25,1251.52,1244.3 ,1243.01,
  565.23, 562.52, 561.34,1059.89,1055.33,1054.24,1230.85,1225.5 ,1224.64,
  622.08, 620.13, 619.45, 995.1 , 992.05, 991.26,1100.7 ,1097.08,1096.35"
log/02.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.59,1.67,0.88",263.3145531587809,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 633.66, 639.74, 648.28,1223.42,1243.95,1261.76,1357.4 ,1388.31,1394.  ,
  603.48, 604.15, 606.14,1203.97,1211.33,1212.61,1398.27,1404.31,1404.58,
  598.91, 597.02, 596.22,1115.54,1114.8 ,1113.65,1299.65,1300.58,1298.42,
  633.27, 630.23, 628.2 ,1003.47,1001.57,1000.38,1102.43,1099.98,1098.63"
log/03.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.03,3.81,0.55",190.6304803670098,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","308.53,308.9 ,311.2 ,635.29,638.1 ,644.42,835.75,837.96,846.51,333.14,
 333.16,334.38,694.94,697.4 ,701.99,882.67,887.34,894.69,365.79,365.55,
 366.31,727.19,728.4 ,730.43,899.41,899.55,901.41,405.02,404.44,404.79,
 672.19,671.25,671.43,772.04,771.22,771.56"
log/04.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.05,3.93,0.22",192.36613793364342,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","277.06,276.98,277.71,577.1 ,574.49,572.48,746.95,742.88,739.34,307.08,
 306.46,306.37,646.16,643.46,641.28,800.22,796.91,793.58,349.74,349.38,
 349.44,679.94,678.93,678.46,796.54,794.69,793.35,409.48,409.2 ,409.28,
 662.82,662.35,662.35,729.14,728.5 ,728.34"
log/05.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.03,3.83,0.  ",211.39883120707057,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 380.19, 384.49, 390.98, 726.17, 735.19, 746.14, 903.34, 915.51, 921.13,
  453.1 , 453.95, 457.1 , 862.7 , 866.59, 873.88,1021.32,1034.15,1037.33,
  522.23, 523.55, 527.86, 929.86, 936.92, 949.96,1052.01,1068.28,1076.95,
  587.02, 589.67, 595.66, 902.53, 914.45, 932.41, 980.16,1001.4 ,1009.17"
log/06.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.04,4.28,0.26",190.9609567135644,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 340.77, 340.47, 342.65, 716.72, 718.48, 727.91, 901.08, 901.78, 915.42,
  416.44, 416.56, 418.09, 865.45, 867.35, 871.93,1054.27,1053.16,1053.27,
  483.76, 484.28, 485.69, 934.57, 934.15, 934.62,1093.  ,1089.47,1089.05,
  547.92, 548.04, 548.77, 879.93, 878.45, 878.31, 968.59, 966.79, 966.73"
log/07.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.1 ,3.07,0.7 ",204.94528540002645,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 327.05, 325.79, 325.56, 643.36, 641.28, 640.44, 793.34, 790.89, 789.67,
  363.97, 362.04, 361.  , 771.32, 767.48, 764.62, 957.86, 957.05, 954.06,
  419.51, 417.09, 415.5 , 856.41, 854.54, 850.65,1008.72,1007.76,1007.64,
  481.25, 478.31, 476.19, 804.11, 803.  , 801.05, 895.61, 894.52, 894.52"
log/08.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.02,2.28,0.  ",273.9600617800265,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 776.04, 804.7 , 836.01,1503.56,1549.99,1566.83,1697.1 ,1740.28,1743.39,
  895.17, 909.69, 926.29,1644.89,1669.36,1680.61,1822.46,1854.37,1854.42,
  997.59,1007.44,1019.22,1709.58,1734.78,1746.64,1848.63,1882.4 ,1884.11,
 1078.24,1086.58,1096.81,1618.8 ,1644.52,1656.75,1723.59,1758.82,1761.76"
log/09.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.06,4.29,1.  ",168.9165064481142,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","249.34,247.03,246.18,540.74,536.76,534.39,712.21,707.15,703.47,291.55,
 289.99,289.65,620.75,618.43,617.61,757.09,754.24,752.89,339.02,337.73,
 337.54,648.63,646.98,646.78,779.49,777.69,777.38,398.51,397.36,397.2 ,
 633.1 ,631.7 ,631.61,685.83,684.35,684.29"
log/10.csv,AgentDimensionRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.05,4.14,0.23",180.31261140762163,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","265.42,264.27,265.37,587.26,587.97,592.43,759.37,762.43,769.96,300.96,
 299.99,300.66,667.61,668.33,672.46,831.6 ,834.85,842.17,349.22,348.54,
 349.64,709.56,711.68,717.7 ,845.27,851.39,860.36,407.64,407.35,408.93,
 670.78,674.1 ,680.76,742.81,750.6 ,756.24"
