log_filename,agent_name,Fit_function,xranges,x0,LL,x,y,z,LL_grid
log/01.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.  ,2.14,0.79",209.47149199167822,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 450.63, 446.91, 446.57, 954.22, 948.54, 949.18,1208.41,1199.89,1199.8 ,
  521.51, 517.78, 516.36,1058.43,1052.36,1051.14,1251.1 ,1244.27,1243.  ,
  573.53, 570.73, 569.63,1058.1 ,1053.59,1052.7 ,1229.78,1224.62,1223.93,
  624.75, 622.76, 622.09, 991.37, 988.29, 987.51,1097.41,1093.75,1093.07"
log/02.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.62,1.05,1.  ",277.47042990431135,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 852.16, 861.82, 872.95,1265.79,1273.82,1281.  ,1377.74,1392.15,1394.21,
  840.45, 842.1 , 844.52,1296.26,1297.33,1292.75,1419.48,1420.11,1418.64,
  840.16, 838.43, 837.69,1265.37,1262.11,1258.44,1387.02,1384.96,1381.53,
  864.61, 861.6 , 859.61,1209.86,1207.36,1205.58,1275.51,1272.06,1269.7 "
log/03.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.01,2.13,1.  ",190.79785610089195,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","338.62,339.1 ,341.53,635.3 ,638.12,644.44,835.75,837.96,846.51,361.99,
 361.95,363.26,695.37,697.82,702.41,882.67,887.34,894.69,391.59,391.28,
 392.11,729.92,731.13,733.16,899.31,899.45,901.32,424.97,424.31,424.74,
 677.16,676.22,676.41,774.2 ,773.38,773.71"
log/04.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.06,3.18,0.2 ",179.58088908683598,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","276.24,276.3 ,277.1 ,577.09,574.49,572.48,746.95,742.88,739.34,304.85,
 304.22,304.17,646.01,643.32,641.14,800.21,796.89,793.57,344.73,344.33,
 344.43,677.99,676.98,676.51,795.49,793.64,792.31,400.87,400.54,400.66,
 657.82,657.35,657.35,724.99,724.34,724.19"
log/05.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.03,3.06,0.  ",202.7719030773486,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 415.09, 420.74, 428.02, 726.53, 735.21, 746.13, 903.34, 915.51, 921.13,
  484.19, 484.97, 488.03, 862.15, 866.03, 873.32,1021.03,1033.86,1037.05,
  545.73, 547.02, 551.33, 927.36, 934.42, 947.47,1050.39,1066.66,1075.33,
  603.27, 605.99, 612.02, 896.71, 908.63, 926.59, 975.16, 996.4 ,1004.17"
log/06.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.04,3.48,0.26",180.40439295766643,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 343.19, 343.23, 345.69, 716.57, 718.45, 727.89, 901.05, 901.77, 915.42,
  417.69, 417.81, 419.49, 864.96, 866.87, 871.46,1054.12,1053.02,1053.14,
  481.49, 481.91, 483.44, 932.29, 931.86, 932.35,1091.72,1088.18,1087.76,
  540.17, 540.08, 540.9 , 874.12, 872.54, 872.48, 964.19, 962.35, 962.33"
log/07.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.14,2.12,1.  ",209.3422494088277,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 380.32, 379.1 , 378.96, 649.9 , 647.81, 646.98, 793.42, 790.97, 789.75,
  411.31, 409.34, 408.36, 788.77, 784.93, 782.08, 969.23, 968.42, 965.43,
  461.98, 459.49, 457.96, 874.81, 872.93, 869.04,1024.43,1023.47,1023.35,
  517.96, 514.96, 512.9 , 829.47, 828.36, 826.41, 915.31, 914.22, 914.23"
log/08.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.02,1.15,0.  ",302.76407805240643,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","1132.32,1165.41,1190.47,1567.38,1593.9 ,1597.92,1729.11,1749.11,1749.11,
 1225.05,1240.34,1251.49,1726.69,1737.23,1736.24,1884.24,1893.01,1889.95,
 1295.89,1305.2 ,1312.58,1816.38,1827.79,1827.38,1936.67,1947.3 ,1945.9 ,
 1344.53,1351.29,1357.75,1752.97,1765.05,1765.16,1840.85,1852.92,1852.74"
log/09.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.07,3.32,1.  ",164.58742715242417,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","262.39,260.49,259.74,544.58,541.01,538.63,711.91,707.26,703.58,304.25,
 302.99,302.74,630.45,628.53,627.72,764.9 ,762.46,761.1 ,348.43,347.37,
 347.28,658.55,657.28,657.11,790.12,788.72,788.42,403.66,402.63,402.55,
 640.32,639.21,639.2 ,693.55,692.43,692.42"
log/10.csv,AgentRuleBasedDimensionRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.14,2.43,0.65",194.16159264645228,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","327.4 ,326.88,328.23,599.67,601.08,605.54,759.88,763.63,771.16,356.78,
 356.24,357.14,697.33,698.73,702.87,848.58,852.52,859.84,401.83,401.45,
 402.79,750.45,753.21,759.28,872.58,879.39,888.36,455.5 ,455.37,457.14,
 716.36,720.17,727.  ,783.63,792.04,797.75"
