log_filename,model_name,Fit_function,xranges,x0,LL,x,y,z,LL_grid
log/01.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.06,50.  , 0.  ",-2423.8001295993886,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -762.14, -639.36, -517.09,-1415.46,
 -1210.27, -970.5 ,-1737.56,-1573.75,-1274.32,-1896.43,-1744.86,-1454.6 ,
  -882.16, -788.31, -695.45,-1366.03,-1230.23,-1041.24,-1376.29,-1366.14,
 -1136.24,-1376.28,-1376.2 ,-1230.46"
log/02.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.46,50.  , 0.21",-2361.8240233774827,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -908.45, -841.94, -775.35,-1722.29,
 -1614.58,-1486.33,-2074.03,-1986.79,-1848.7 ,-2240.66,-2163.56,-2038.59,
 -1212.96,-1166.26,-1120.45,-1821.29,-1753.89,-1658.49,-1829.95,-1830.72,
 -1709.24,-1832.44,-1836.91,-1758.85"
log/03.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.21,50.  , 0.24",-2067.787531523872,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -759.42, -640.16, -521.64,-1420.32,
 -1208.17, -963.78,-1727.19,-1550.83,-1233.38,-1871.19,-1723.01,-1394.71,
  -910.27, -806.8 , -704.67,-1429.13,-1278.61,-1068.79,-1444.09,-1438.29,
 -1176.7 ,-1446.57,-1450.99,-1283.36"
log/04.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.38,50.  , 0.19",-1999.3160773791944,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -731.45, -597.11, -460.33,-1380.33,
 -1139.  , -855.59,-1688.74,-1516.19,-1137.34,-1855.72,-1702.98,-1343.88,
  -873.63, -746.44, -619.89,-1390.57,-1203.92, -945.33,-1405.01,-1390.71,
 -1075.15,-1405.01,-1404.9 ,-1204.11"
log/05.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.32,50.  , 0.25",-2058.148730594302,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -857.07, -829.98, -803.24,-1535.21,
 -1499.18,-1452.94,-1796.68,-1761.59,-1724.04,-1933.61,-1895.34,-1847.94,
  -980.06, -970.29, -960.88,-1429.38,-1414.63,-1394.76,-1431.04,-1429.77,
 -1405.09,-1431.04,-1431.03,-1415.01"
log/06.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.42,50.  , 0.23",-2086.3064692258235,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -817.25, -691.92, -566.99,-1525.75,
 -1299.02,-1035.69,-1830.23,-1668.91,-1307.62,-1977.09,-1828.18,-1495.51,
  -919.49, -782.65, -648.92,-1474.28,-1272.96, -999.39,-1491.05,-1474.25,
 -1136.69,-1491.03,-1490.9 ,-1273.16"
log/07.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.28,50.  , 0.  ",-2260.758608810579,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -786.18, -645.59, -503.01,-1492.81,
 -1237.92, -941.81,-1838.37,-1670.87,-1266.13,-2023.58,-1876.76,-1509.03,
  -853.18, -713.56, -575.37,-1380.18,-1174.28, -889.87,-1399.96,-1389.33,
 -1035.06,-1402.45,-1406.83,-1178.95"
log/08.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.43,50.  , 0.22",-2265.193102520013,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -908.22, -744.14, -605.1 ,-1684.56,
 -1379.56,-1096.84,-1984.57,-1715.65,-1329.92,-2129.32,-1896.56,-1495.64,
 -1081.64, -938.95, -798.3 ,-1730.09,-1521.95,-1232.61,-1749.54,-1739.26,
 -1380.39,-1752.02,-1756.4 ,-1526.73"
log/09.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.33,50.  , 0.25",-2037.305519183722,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -718.48, -615.7 , -510.03,-1347.57,
 -1175.82, -967.18,-1695.27,-1571.89,-1316.16,-1871.78,-1782.98,-1555.07,
  -679.06, -617.57, -556.85,-1027.33, -936.14, -811.8 ,-1034.98,-1027.47,
  -874.29,-1034.98,-1034.92, -936.32"
log/10.csv,simpleRL,brute,"(slice(0, 1.5, 0.5), slice(10, 50, 10), slice(0.25, 1, 0.25))"," 0.13,50.  , 0.23",-2409.609713544891,"0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0. ,0.5,0.5,0.5,0.5,0.5,0.5,
 0.5,0.5,0.5,0.5,0.5,0.5,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ,1. ","10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,
 30.,30.,30.,40.,40.,40.,10.,10.,10.,20.,20.,20.,30.,30.,30.,40.,40.,40.","0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,
 0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75,0.25,
 0.5 ,0.75,0.25,0.5 ,0.75,0.25,0.5 ,0.75"," -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64, -121.64,
  -121.64, -121.64, -121.64, -121.64, -855.04, -713.78, -577.36,-1611.62,
 -1364.27,-1089.57,-1931.54,-1752.33,-1401.31,-2086.23,-1929.29,-1602.  ,
 -1020.  , -887.73, -756.6 ,-1616.66,-1422.85,-1154.34,-1631.67,-1616.84,
 -1289.18,-1631.67,-1631.56,-1423.1 "
