log_filename,agent_name,Fit_function,xranges,x0,LL,x,y,z,LL_grid
log/01.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.07,7.58,0.  ",161.9720794266693,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 243.85, 272.12, 342.16, 513.93, 564.36, 769.82, 675.53, 757.55,1054.2 ,
  332.23, 359.11, 425.08, 706.43, 771.74, 960.79, 884.67, 984.74,1211.28,
  409.08, 438.71, 503.29, 812.99, 901.49,1090.19, 947.89,1099.24,1289.42,
  494.39, 531.87, 601.57, 801.34, 933.94,1140.65, 861.76,1091.14,1248.72"
log/02.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.4 ,2.76,0.  ",241.23167652120162,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 414.29, 387.01, 372.42, 874.52, 829.17, 808.85,1078.4 ,1032.16,1016.27,
  409.59, 395.74, 395.34, 824.87, 804.04, 829.54, 986.08, 956.24,1002.57,
  434.99, 428.03, 434.91, 799.83, 796.3 , 851.43, 931.25, 926.48,1009.09,
  467.87, 467.02, 478.78, 724.71, 747.05, 814.97, 803.84, 841.57, 923.36"
log/03.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.11,3.69,0.  ",239.2800221100669,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 374.94, 375.21, 397.09, 831.1 , 853.53, 903.  ,1006.28,1061.11,1146.06,
  465.1 , 479.43, 516.69,1013.76,1071.9 ,1180.87,1193.06,1297.58,1415.93,
  543.74, 566.37, 613.61,1069.27,1152.67,1289.66,1224.08,1371.54,1486.78,
  610.01, 641.15, 697.18, 985.17,1102.41,1267.82,1092.39,1291.93,1408.36"
log/04.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.09,3.99,0.  ",240.4684636829448,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 363.34, 346.43, 346.9 , 815.34, 793.76, 787.27,1052.37,1049.84,1053.17,
  453.2 , 444.68, 453.85,1019.71,1011.2 ,1035.63,1245.6 ,1249.67,1293.41,
  532.01, 531.17, 551.48,1078.39,1088.23,1161.06,1253.12,1276.21,1383.8 ,
  597.95, 607.88, 640.19, 985.56,1029.93,1152.58,1102.71,1175.71,1323.  "
log/05.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.15,4.1 ,0.  ",221.5651885961321,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 308.99, 300.1 , 301.61, 695.67, 675.31, 679.46, 934.05, 918.29, 916.48,
  407.66, 402.8 , 401.93, 887.45, 905.07, 910.84,1090.81,1125.33,1144.38,
  523.22, 515.78, 510.59,1047.3 ,1061.82,1065.23,1204.08,1224.32,1232.96,
  634.57, 626.68, 620.25,1040.75,1052.28,1059.87,1110.59,1130.02,1133.8 "
log/06.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.37,3.37,0.  ",229.12641107040378,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 323.9 , 337.3 , 399.08, 726.2 , 751.67, 916.52, 937.13, 993.01,1196.19,
  340.42, 372.02, 457.71, 722.18, 803.46,1053.18, 875.05,1018.26,1286.91,
  363.1 , 411.59, 512.75, 711.7 , 861.35,1158.45, 860.75,1116.75,1363.43,
  396.05, 461.98, 576.87, 630.81, 859.95,1189.01, 719.81,1109.53,1334.32"
log/07.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.23,4.16,0.  ",215.04866628587175,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 279.66, 267.31, 273.61, 649.74, 611.35, 591.36, 873.29, 844.68, 830.21,
  330.22, 325.72, 343.41, 742.08, 725.1 , 760.84, 928.6 , 923.18, 989.48,
  424.46, 425.63, 448.79, 871.02, 888.53, 957.97,1020.49,1053.67,1153.12,
  539.77, 547.81, 575.18, 892.72, 948.65,1050.3 , 940.78,1035.97,1151.89"
log/08.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.19,3.37,0.  ",224.13181641233595,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 345.02, 333.72, 356.99, 816.55, 788.19, 839.8 ,1024.89,1014.28,1098.4 ,
  396.95, 405.3 , 443.49, 849.88, 903.26,1011.64,1001.07,1091.09,1200.34,
  456.94, 473.14, 521.3 , 845.69, 927.03,1078.2 , 936.04,1080.38,1217.99,
  517.18, 544.25, 603.2 , 792.86, 915.12,1112.43, 843.52,1052.63,1220.92"
log/09.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.15,4.29,0.  ",214.46797055929423,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 283.58, 293.27, 330.12, 634.33, 647.05, 729.55, 839.52, 861.44, 973.7 ,
  384.81, 402.1 , 437.24, 885.97, 929.23,1014.95,1111.56,1179.28,1281.79,
  518.18, 534.25, 565.11,1083.3 ,1124.31,1205.46,1239.88,1311.64,1410.9 ,
  647.29, 662.95, 691.9 ,1072.62,1131.97,1217.83,1147.29,1251.46,1326.98"
log/10.csv,AgentSimpleRL,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.13,5.53,0.  ",183.6360712168078,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 231.79, 231.77, 261.82, 515.92, 515.95, 572.51, 664.25, 692.49, 793.53,
  328.9 , 335.6 , 370.52, 737.07, 774.92, 876.77, 910.73, 981.87,1119.28,
  418.79, 434.51, 476.34, 818.87, 893.54,1031.49, 956.84,1083.08,1214.  ,
  491.46, 514.47, 562.2 , 785.28, 886.3 ,1041.7 , 854.51,1030.14,1157.82"
