filename,score,n_competitive,n_competitive_rate(%),n_sum_of_order_1,n_sum_of_order_2,n_sum_of_order_3,competitive_choice,inferior_choice,best_prob_choice,best_prob_choice_rate_without_non_competitive(%),attraction_effect_choice_rate
log/12.csv,2080,260,86.7,40,240,20,297,3,217,69.2,65.1
log/13.csv,2050,274,91.3,26,253,21,288,12,209,67.5,60.6
log/10.csv,2020,260,86.7,40,234,26,289,11,211,67.3,70.6
log/04.csv,2030,268,89.3,32,245,23,300,0,211,66.8,62.7
log/07.csv,2060,273,91,27,253,20,288,12,205,66.7,67.8
log/05.csv,1870,266,88.7,34,248,18,287,13,202,63.5,65
log/14.csv,2000,276,92,24,258,18,299,1,195,62.3,64.9
log/02.csv,2020,277,92.3,23,261,16,258,42,187,62.1,37.7
log/09.csv,1950,271,90.3,29,256,15,297,3,197,62,73
log/01.csv,1980,270,90,30,247,23,298,2,193,61.1,61.3
log/06.csv,1870,278,92.7,22,258,20,299,1,189,60.1,71
log/03.csv,1990,273,91,27,260,13,293,7,181,57.5,67.5
log/08.csv,1880,273,91,27,257,16,224,76,160,56.4,38.7
log/11.csv,1870,264,88,36,242,22,296,4,182,55.7,70.5
log/15.csv,1880,274,91.3,26,248,26,298,2,176,54.7,59.5
