"0,0,1","0,1,1","0,1,0","0,1,1","0,1,0","0,0,0","0,0,1","1,0,0","0,0,1","0,1,0","0,0,0","0,1,1","0,1,1","0,1,1","1,1,0","1,0,0","1,0,0","1,0,1","1,0,0","0,1,1","1,1,0","0,0,1","0,1,1","0,0,0","1,0,1","0,1,0","1,1,0","0,1,0","1,0,0","1,1,0","0,0,1","0,1,0","0,0,0","1,0,1","0,0,1","1,0,1","1,0,0","0,1,0","1,0,1","0,1,0","1,0,0","0,0,1","1,1,0","0,1,1","0,0,1","0,1,0","1,0,1","1,1,0","1,0,1","0,0,1","0,1,1","0,1,1","0,0,1","0,1,0","1,0,0","1,1,0","1,1,0","1,1,1","0,0,0","0,1,0","1,1,0","0,1,0","1,0,0","1,1,0","0,0,1","0,0,1","0,1,0","0,0,0","1,1,0","0,1,0","1,0,1","1,0,0","1,0,1","1,0,0","0,1,0","0,1,1","0,1,0","1,0,0","0,1,1","0,0,1","0,1,0","0,0,0","0,0,1","1,1,1","1,0,0","1,0,0","0,0,0","1,1,0","1,0,0","0,0,1","1,0,0","1,1,1","0,1,0","0,0,1","1,0,1","0,1,1","0,1,0","0,1,0","1,0,1","0,0,1","1,0,0","1,1,0","1,0,0","1,0,0","1,1,0","1,1,0","0,0,0","0,0,1","0,1,1","0,0,1","0,0,1","0,0,1","0,0,0","1,0,0","1,0,0","0,1,0","0,0,1","0,0,0","1,1,0","0,0,1","1,0,0","1,0,0","0,1,0","0,0,1","1,0,0","1,1,0","0,1,1","1,1,0","0,0,0","1,0,0","0,1,0","0,1,1","0,1,1","1,1,0","0,1,1","1,1,0","0,0,1","0,0,0","1,0,1","0,1,1","0,1,0","1,1,0","1,0,1","0,0,0","0,0,1","0,1,1","1,1,0","0,1,0","1,0,1","0,0,1","1,0,0","1,0,1","1,0,1","1,1,0","0,1,1","1,1,1","1,1,0","0,1,1","1,0,0","1,1,1","1,0,0","0,1,1","1,0,1","1,1,0","0,0,1","1,0,1","0,1,0","1,1,1","1,0,1","1,1,0","0,1,1","0,1,1","0,1,0","0,1,0","0,0,1","0,1,1","0,1,0","1,1,0","1,1,0","1,1,0","1,1,0","1,0,0","0,1,0","1,1,0","0,1,1","0,1,1","0,0,0","1,0,1","1,0,1","0,0,0","0,0,0","1,0,0","0,0,1","0,0,0","1,1,0","1,0,0","0,1,0","0,1,0","0,1,0","0,0,0","0,0,1","1,1,0","0,1,1","0,0,1","1,1,0","0,0,0","0,1,1","1,1,0","0,1,1","0,1,0","0,1,0","0,1,1","1,1,0","0,1,0","1,0,0","0,0,1","0,0,0","0,0,0","1,0,0","1,0,1","0,1,1","1,0,1","1,1,0","1,1,0","1,1,0","0,1,0","1,1,0","0,1,1","1,0,1","1,1,0","0,0,1","0,0,1","1,0,0","0,1,1","0,1,1","0,0,0","1,1,0","0,1,0","0,1,1","0,1,1","0,1,1","1,0,1","1,0,1","0,0,1","1,0,0","0,0,0","0,0,1","0,1,0","1,1,0","1,0,0","1,0,0","0,0,1","0,1,1","1,1,0","1,1,0","1,1,0","1,0,0","1,0,1","0,0,0","1,0,1","0,1,0","1,1,0","0,1,1","1,1,0","0,0,1","0,0,0","0,1,1","0,1,0","1,1,0","1,1,0","0,0,0","1,0,0","0,1,1","1,0,1","0,0,0","0,0,1","0,1,0","1,1,0","1,0,0","1,1,0","1,0,1","0,1,1","1,1,0","1,0,0","1,1,0","1,1,0","1,0,1","0,1,0","0,0,1","1,0,1","0,0,0","1,0,0","1,0,0","0,0,1","1,0,0","1,0,1","1,0,0","0,0,1","0,1,0","1,0,0"
"1,0,0","1,1,0","1,0,1","1,0,0","0,0,0","0,0,1","0,1,1","0,0,0","0,1,1","0,0,0","0,1,1","0,0,1","0,0,1","0,0,0","0,1,1","1,0,1","1,0,1","0,0,0","1,0,1","0,0,0","0,1,1","0,1,0","1,0,1","0,1,0","0,1,0","1,0,1","1,0,1","1,0,1","1,0,1","1,0,1","1,0,1","1,0,1","1,0,1","1,1,1","0,0,0","0,1,1","0,1,1","1,0,1","0,1,0","1,0,1","1,1,1","1,0,0","0,0,1","1,0,1","1,1,0","0,0,1","0,0,1","0,1,1","0,0,0","1,0,0","0,1,0","1,0,0","0,0,0","0,0,1","0,0,0","0,0,1","0,0,0","0,1,0","1,0,0","1,0,1","0,1,0","0,0,0","0,0,1","0,0,1","1,1,0","1,1,0","0,0,0","1,0,1","0,1,1","0,0,1","0,1,0","0,0,1","1,0,0","1,1,0","1,0,1","0,1,0","1,0,1","0,1,1","0,1,0","1,0,0","1,0,1","0,1,1","1,0,1","1,0,0","0,1,1","1,0,1","1,0,0","0,0,0","0,1,0","0,1,0","0,0,0","1,1,0","1,0,1","0,1,1","0,1,0","1,0,1","0,0,1","1,0,1","1,1,0","1,1,0","0,0,1","1,0,1","0,0,0","1,0,1","1,0,1","0,0,0","1,0,1","1,0,0","1,1,0","1,0,1","0,1,0","1,0,0","1,1,1","0,1,0","0,1,0","0,0,1","0,1,0","0,0,1","0,1,0","1,0,0","0,1,0","0,0,1","0,1,1","0,1,0","0,1,1","0,0,0","1,1,0","1,0,1","1,0,1","1,1,0","0,0,0","0,0,0","0,1,0","0,0,0","1,0,1","0,1,1","0,0,0","0,0,1","1,1,0","0,0,0","0,1,1","0,1,1","0,0,1","1,0,1","1,0,1","1,1,1","0,1,1","1,0,0","0,1,1","0,1,0","1,0,1","0,1,0","1,0,0","1,0,1","1,0,0","0,1,1","1,0,0","1,1,0","1,1,0","1,1,0","0,0,1","1,0,0","0,0,0","0,1,0","0,1,1","0,1,1","0,1,1","0,0,1","0,1,1","0,1,1","0,0,0","0,0,1","1,0,0","1,0,1","1,1,0","1,1,0","0,1,1","0,1,1","0,0,0","1,0,1","1,0,1","0,0,1","0,1,1","1,0,0","0,0,1","1,0,1","0,0,1","0,1,0","0,1,1","1,0,0","1,1,0","0,1,0","1,1,0","1,0,0","0,1,0","0,1,1","1,0,0","1,0,1","1,1,0","0,0,1","1,0,1","0,1,0","0,0,0","1,0,0","0,1,0","0,1,1","1,1,0","0,0,1","1,1,0","1,0,1","0,1,1","0,0,1","0,1,1","0,0,1","0,0,1","0,0,0","1,0,1","1,0,1","0,0,0","0,1,1","1,1,0","0,0,1","0,1,0","0,1,1","1,0,0","0,0,0","0,1,0","1,1,0","0,1,1","0,1,0","0,1,0","0,1,1","0,0,0","1,0,1","1,1,0","1,0,0","1,0,1","1,1,0","1,1,0","0,0,1","1,0,1","0,0,0","0,1,1","1,0,1","0,0,0","1,0,1","1,1,0","0,1,1","0,1,1","0,1,0","1,0,1","0,1,0","1,0,1","0,1,1","0,0,0","0,1,1","1,0,1","1,0,0","0,1,1","1,1,0","0,1,1","0,0,1","0,0,0","0,0,0","0,1,0","0,0,1","1,0,1","0,1,1","0,0,1","0,1,0","0,0,1","0,0,0","0,0,1","0,1,0","0,1,1","0,1,0","0,0,1","0,0,0","1,0,1","0,0,0","0,0,0","1,0,0","0,1,0","0,1,0","0,1,0","0,1,0","0,1,1","0,0,1","0,1,0","0,1,0","1,0,0","0,0,1","0,1,0","0,0,0","0,1,1","0,1,1","0,1,0","1,0,1","0,0,1","0,0,1"
"0,1,0","1,0,0","1,1,0","1,0,1","1,0,1","1,1,0","1,1,0","0,1,0","1,1,0","1,1,1","1,0,1","1,1,0","1,1,0","1,1,1","1,0,1","0,1,1","0,1,1","0,1,0","1,1,0","1,1,0","0,0,0","1,0,0","0,0,0","1,0,1","0,0,0","0,1,1","0,1,1","1,1,0","0,1,0","0,0,0","1,1,0","0,0,1","0,1,1","1,1,0","0,1,0","1,0,0","0,0,0","1,1,0","1,1,0","0,0,1","1,1,0","0,1,0","1,0,1","1,1,0","1,0,1","0,0,0","0,1,1","0,0,1","0,1,0","0,0,0","1,1,0","1,1,0","1,1,0","0,0,0","0,1,0","0,1,1","1,0,1","0,0,0","1,1,0","0,0,1","1,0,1","0,0,1","1,1,1","0,1,1","0,1,0","0,0,0","1,0,1","1,1,0","1,0,0","0,0,0","0,0,1","1,1,0","0,1,0","0,1,1","0,0,0","1,1,0","1,0,0","0,0,0","1,0,1","0,0,0","1,1,0","1,0,1","0,1,1","0,1,0","1,1,0","1,1,0","0,1,0","0,1,1","1,0,1","1,0,0","0,1,1","1,0,0","0,1,1","1,1,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,1,1","0,1,1","0,0,1","0,1,0","0,1,1","1,0,0","0,0,1","0,1,0","0,1,0","1,0,1","0,1,1","1,0,1","1,1,0","1,0,1","0,0,1","0,1,1","1,1,0","1,1,0","1,0,0","0,0,1","0,0,0","0,0,0","0,1,1","1,0,0","0,0,0","0,0,0","0,0,1","0,0,1","0,1,1","0,1,0","0,1,1","1,0,0","1,0,1","1,0,1","0,0,1","1,1,1","1,0,1","1,1,0","1,0,0","0,0,0","1,0,0","0,0,0","0,0,0","0,1,1","0,1,0","0,1,0","1,0,1","0,0,0","0,0,0","1,0,0","1,0,0","0,1,0","0,1,1","0,1,0","1,0,0","0,0,0","1,1,0","1,0,1","1,1,1","0,1,1","0,0,0","0,1,0","0,0,0","1,1,0","0,1,1","1,1,0","1,0,0","1,1,0","1,0,0","0,0,0","0,0,0","1,1,0","1,0,1","0,0,0","1,1,0","1,0,0","1,0,0","1,0,1","0,0,0","1,0,1","1,1,1","1,0,0","1,1,0","1,0,1","1,0,1","1,1,0","0,0,1","1,1,0","0,0,0","0,0,1","0,1,0","0,0,1","0,1,1","0,0,0","0,1,0","1,0,1","0,0,1","0,0,1","0,0,1","0,0,1","1,0,1","0,1,0","0,0,1","1,1,1","0,1,1","0,1,1","1,0,1","1,0,0","0,1,0","0,1,0","1,1,0","1,1,0","1,0,1","0,0,1","0,0,0","0,1,1","0,1,0","0,1,0","1,1,0","0,0,1","0,0,0","0,1,0","0,1,1","0,0,1","0,0,0","1,0,1","1,0,0","0,1,1","0,1,0","0,0,1","1,0,1","0,0,0","1,0,1","0,1,1","1,0,0","1,0,0","0,0,1","0,0,0","0,0,1","0,0,0","1,0,1","1,1,1","1,1,0","0,0,1","0,1,1","0,1,1","0,1,0","1,0,0","1,1,0","1,0,0","1,0,1","1,1,0","1,0,0","1,1,0","0,1,0","0,0,1","0,1,0","1,1,1","1,1,0","1,1,0","0,0,1","1,1,1","0,0,0","1,1,1","0,1,0","0,0,0","1,0,0","1,1,1","1,0,1","1,0,0","1,0,1","1,1,0","0,0,1","1,1,0","0,1,1","1,0,0","1,0,0","0,0,0","1,0,1","0,1,1","1,0,1","1,1,0","0,1,0","1,0,1","1,0,1","1,0,1","0,0,1","0,1,0","1,0,0","1,0,0","0,1,1","0,1,0","0,0,0","1,0,1","0,1,0","0,0,1","0,0,0","0,1,1","0,1,0","1,0,0","0,0,0"
"7","15","10","16","10","0","24","70","37","0","0","41","35","38","64","63","71","95","81","18","82","6","16","0","97","5","95","3","92","93","2","4","0","97","1","97","87","13","88","3","88","1","93","13","8","0","94","94","95","16","28","27","8","8","81","92","85","100","0","4","80","14","80","84","11","17","17","0","79","28","72","41","76","54","29","47","26","46","52","34","18","0","37","100","34","29","0","45","20","69","26","100","24","32","79","57","24","28","70","36","29","53","22","25","52","58","0","52","68","49","59","76","0","11","6","12","84","0","19","74","4","7","18","82","0","14","96","16","0","15","17","86","77","36","63","28","76","0","96","69","12","53","83","0","43","49","61","14","81","32","62","88","93","77","34","100","68","27","64","100","69","39","99","72","29","98","3","100","87","84","23","28","9","6","23","37","15","84","81","77","91","55","30","68","55","60","0","70","61","0","0","16","50","0","68","37","38","40","47","0","25","75","71","22","86","0","69","86","63","52","55","66","86","53","38","2","0","0","43","57","61","66","81","79","76","43","61","75","49","70","37","37","21","75","78","0","93","60","71","75","86","41","35","23","6","0","31","70","83","10","17","15","84","72","83","73","20","36","0","29","68","76","90","67","34","0","89","66","78","85","0","15","83","28","0","11","82","90","11","86","29","79","99","19","97","97","23","71","15","39","0","27","17","8","26","27","28","6","65","NaN"
"83","92","90","84","0","21","30","0","38","0","46","23","29","0","40","95","98","0","96","0","24","11","86","13","3","95","96","97","93","99","97","96","100","100","0","6","13","87","12","97","100","86","7","100","92","9","0","11","0","77","9","73","0","9","0","8","0","9","84","96","5","0","6","16","89","83","0","76","48","24","28","30","49","86","71","28","74","54","29","44","82","64","77","40","66","84","27","0","20","12","0","51","76","62","21","78","35","72","62","64","39","66","0","71","73","0","75","30","57","76","21","13","100","21","14","85","9","82","16","4","19","75","96","15","100","0","14","91","94","25","0","0","10","0","96","73","0","86","25","0","67","67","43","97","89","100","52","48","51","13","87","12","67","88","66","37","63","78","68","74","25","61","0","8","35","37","37","27","35","25","0","20","70","94","77","69","37","36","0","80","71","16","58","44","34","78","37","30","68","34","60","31","50","20","38","63","30","60","84","33","50","49","0","29","57","75","88","14","90","48","63","7","75","11","1","0","36","42","0","55","79","35","49","70","31","0","35","67","74","49","42","76","0","50","74","23","38","97","91","14","45","0","92","36","0","43","69","100","93","73","29","72","34","92","0","85","42","22","85","88","90","24","0","0","56","22","46","94","22","81","7","0","2","72","85","79","0","0","32","0","0","21","77","78","83","79","78","5","62","61","24","1","72","0","74","77","68","29","17","NaN"
"10","85","93","93","90","79","76","2","63","100","88","77","71","100","96","37","29","5","85","95","0","83","0","87","0","7","9","94","7","0","98","9","17","95","8","94","0","99","100","12","100","13","89","87","95","0","6","6","5","0","81","82","92","0","6","19","92","0","91","13","95","2","100","27","14","0","83","81","52","0","28","70","24","46","0","81","50","0","71","0","64","79","60","21","47","45","20","80","80","19","74","31","70","68","0","0","0","0","38","74","71","47","32","75","25","42","25","18","75","73","79","24","82","68","94","15","16","8","81","0","0","93","4","0","0","86","86","93","6","85","12","83","90","64","100","99","24","14","0","31","0","0","60","3","11","94","0","0","49","55","13","31","7","65","0","72","95","100","36","0","6","0","60","36","71","63","66","69","0","0","93","92","0","84","71","63","85","0","78","100","62","84","70","76","66","38","63","0","29","38","40","84","0","38","62","28","32","24","16","53","50","25","100","71","71","43","31","51","53","86","92","41","14","0","62","64","64","98","7","0","40","69","19","0","55","23","74","42","23","51","0","61","79","25","22","24","0","3","0","39","100","71","27","87","94","57","7","70","7","27","88","13","82","64","17","58","100","86","78","12","100","0","100","57","0","14","100","34","5","19","93","3","98","77","15","10","0","20","89","27","85","75","23","22","17","3","77","24","23","77","60","0","28","69","2","0","72","71","18","NaN"
"right","middle","right","left","left","right","right","right","right","right","right","right","left","right","middle","middle","middle","left","right","right","left","right","middle","right","left","middle","middle","middle","middle","middle","middle","middle","middle","middle","right","left","middle","middle","left","middle","middle","middle","left","right","middle","left","right","middle","left","middle","right","right","left","middle","right","left","left","left","right","middle","right","left","right","left","middle","middle","right","middle","left","left","right","right","left","middle","middle","left","middle","middle","right","left","middle","right","middle","left","middle","middle","middle","right","right","left","right","left","right","middle","left","left","middle","middle","right","right","right","right","left","right","middle","right","middle","right","right","right","right","left","middle","right","right","middle","left","middle","right","left","left","right","middle","left","middle","right","left","right","middle","right","left","left","left","right","right","right","left","middle","left","left","middle","middle","right","middle","middle","middle","left","middle","middle","left","middle","right","left","middle","left","left","right","right","right","left","middle","left","left","right","right","left","right","left","left","left","right","right","middle","middle","middle","middle","middle","left","right","right","middle","right","middle","left","right","middle","right","middle","middle","middle","middle","right","left","right","left","middle","right","middle","middle","right","middle","left","right","right","right","middle","left","right","left","left","left","left","middle","left","right","right","right","right","right","middle","left","right","middle","middle","left","left","middle","right","middle","middle","middle","middle","right","left","left","right","middle","middle","middle","left","right","right","middle","right","left","middle","middle","right","middle","middle","middle","right","middle","left","left","left","right","right","right","middle","right","left","right","left","middle","middle","middle","right","left","left","right","left","left","right","right","middle","left","left","right","left","left","left","right","right","left","left","middle","left","right","right","left","middle","right","right","middle","middle","right","middle","left","middle"
"false","true","true","false","false","true","true","false","true","true","true","false","true","true","false","true","true","true","true","true","false","true","true","false","true","true","true","true","true","true","true","true","true","true","false","true","false","true","true","true","true","true","true","true","true","false","false","false","true","true","true","false","false","false","false","true","true","true","true","true","true","false","true","true","true","false","false","true","false","false","false","true","true","false","false","true","true","false","true","false","true","true","false","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","false","true","true","true","true","true","true","true","true","true","false","true","false","true","true","true","true","true","true","true","false","true","true","true","true","true","true","false","true","false","true","false","true","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","true","true","true","true","true","true","true","false","true","false","true","true","true","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true","true","true","false","true","true","true","true","true","true","true","true","true","true","true","false","true","true","false","false","true","false","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","true","false","false","true","true","true","true","true","true","false","true","true","true","false","true","false","false","false","true","true","true","false","true","true","true","true","true","true","true","true","false","false","false","false","true","false","true","false","true","false","false","true","true","true","true","true","false","true","true","false","true","true","true","false","false","true","false","false","false","true","true","true","false","false","false","false"
"0","10","20","20","20","30","40","40","50","60","70","70","80","90","90","100","110","120","130","140","140","150","160","160","170","180","190","200","210","220","230","240","250","260","260","270","270","280","290","300","310","320","330","340","350","350","350","350","360","370","380","380","380","380","380","390","400","410","420","430","440","440","450","460","470","470","470","480","480","480","480","490","500","500","500","510","520","520","530","530","540","550","550","560","570","580","590","600","610","620","630","640","650","660","670","680","690","700","710","720","730","740","740","740","750","750","750","750","750","760","770","780","790","800","810","820","830","840","850","860","860","870","880","890","900","910","920","930","940","950","950","960","960","970","980","990","1000","1010","1020","1030","1030","1040","1050","1060","1070","1080","1090","1090","1100","1100","1110","1110","1120","1120","1120","1130","1140","1150","1150","1160","1160","1160","1170","1170","1180","1190","1200","1210","1220","1230","1240","1250","1260","1270","1280","1290","1290","1300","1300","1310","1320","1330","1340","1340","1350","1350","1350","1350","1350","1350","1350","1360","1360","1360","1360","1360","1360","1370","1380","1390","1390","1400","1410","1420","1430","1440","1450","1460","1470","1480","1490","1500","1500","1510","1520","1520","1520","1530","1530","1540","1550","1560","1570","1580","1590","1600","1610","1620","1630","1630","1630","1640","1650","1660","1670","1670","1670","1680","1690","1700","1710","1720","1730","1730","1740","1750","1760","1760","1770","1770","1770","1770","1780","1790","1800","1800","1810","1820","1830","1840","1850","1860","1870","1880","1880","1880","1880","1880","1890","1890","1900","1900","1910","1910","1910","1920","1930","1940","1950","1960","1960","1970","1980","1980","1990","2000","2010","2010","2010","2020","2020","2020","2020","2030","2040","2050","2050","2050","2050","2050"
"6654.795000009472","2417.895000005956","2552.49499999627","1614.9449999938952","1255.7400000077905","1108.1899999990128","1039.4299999898067","1548.5000000044238","900.7449999917299","2357.2350000031292","1728.5850000043865","1166.4699999964796","2458.0950000090525","2965.830000001006","1866.4949999947567","2238.2400000060443","1764.9649999948451","2747.1649999934016","3295.8999999973457","1884.0600000112318","3449.914999990142","2402.4050000007264","4802.759999991395","5023.72500000638","3232.594999994035","2595.6850000075065","1520.6249999901047","2323.2999999891035","2387.3250000033295","2224.54499999003","1230.2249999920605","1756.4799999963725","1466.9700000085868","2839.0650000073947","5736.300000004121","3831.930000000284","1456.5100000036182","3405.1150000013877","2883.175000009942","675.5050000065239","941.065000006347","2105.5900000064867","4637.679999999818","1794.3649999942863","2241.309999997611","1917.990000001737","2026.5549999894574","2658.2650000054855","1789.6550000004936","1979.5799999992596","3475.8750000037253","1380.1450000028126","2597.7750000020023","5083.700000002864","1561.6999999911059","3116.425000000163","1007.3850000044331","2668.7399999937043","1933.4099999978207","1870.8650000044145","2598.939999996219","1567.9700000036974","1916.5300000022398","2087.904999993043","1727.6649999985239","799.4850000104634","2321.8699999997625","2678.5950000048615","3561.4000000059605","4048.6049999890383","1662.1400000003632","2329.9800000095274","3068.155000000843","3778.4649999957765","3371.854999990319","4590.394999991986","5589.764999996987","4147.259999997914","2846.6650000045775","4784.5499999966705","9065.01500000013","2248.3199999987846","1359.1250000026776","1849.8700000054669","5153.325000006589","3710.6500000081724","2658.53000000061","2754.449999993085","2188.364999994519","4174.539999992703","1282.9499999934342","952.1349999995437","1023.9799999981187","1657.9749999946216","1557.6750000036554","1680.1649999979418","3354.4050000054995","2200.729999996838","7579.229999988456","938.175000002957","738.5900000081165","2990.4249999963213","2526.7000000021653","1518.209999994724","4908.030000005965","1306.7449999944074","1784.155000001192","3197.245000003022","2216.2800000078278","1232.8850000048988","2445.559999992838","5176.175000000512","846.7600000003586","1167.730000001029","908.6850000021514","3143.4100000042235","1526.1350000073435","719.6050000056857","1303.8300000043819","2828.235000008135","1982.335000007879","1800.7050000014715","799.1699999984121","1663.4150000027148","742.7850000094622","792.2899999975925","1461.0450000036508","849.7799999895506","2322.0799999980954","1008.8849999883678","2752.025000008871","1691.7149999935646","1543.0800000031013","3703.3399999927497","1503.4649999870453","3082.2750000079395","2475.6650000053924","1667.6549999974668","1904.0550000063377","2900.7149999961257","651.8700000015087","2140.4249999905005","1272.0949999929871","1723.0550000094809","1578.1649999989895","1956.7600000009406","2185.620000003837","5887.075000006007","771.6700000019046","2220.535000000382","1413.8399999937974","1078.8100000063423","3206.56500000041","1784.879999991972","3568.7349999934668","1799.8999999981606","2130.6250000052387","1203.6649999936344","1215.9350000001723","1333.4949999989476","3829.394999993383","986.1749999981839","1224.9849999934668","775.8199999952922","1792.8150000079768","3638.154999993276","1377.0450000010896","1112.8999999928055","3458.4299999987707","2156.25","924.0699999936623","2416.975000000093","2896.13000000827","2829.0299999935087","3399.474999998347","1167.2899999975925","1078.3599999995204","1260.7950000092387","3528.599999990547","869.8000000003958","1246.8750000116415","1511.1099999921862","688.0550000059884","4551.32000001322","2393.8749999942956","2057.685000007041","811.054999998305","3159.1999999945983","1128.5550000029616","2910.2750000020023","1024.3050000135554","1716.8500000116182","2921.394999997574","2785.059999994701","1922.5049999949988","966.1150000029011","3880.6749999930616","2843.3050000021467","1324.3150000052992","2063.4599999903003","1010.8350000082282","2082.9349999985425","1829.4299999979557","1484.4100000045728","1784.9149999965448","1401.995000007446","1660.089999990305","2090.454999997746","3064.075000002049","1657.485000003362","1137.540000010631","1356.5450000023702","999.2800000036368","2386.784999995143","931.9350000005215","876.1499999964144","985.6950000103097","816.9199999974808","2013.7400000094203","2831.270000009681","2084.0749999915715","896.6450000007171","1415.0250000093365","1374.8350000096252","2744.9950000009267","2040.5449999962002","1066.160000002128","1918.3699999994133","4142.235000006622","1503.4599999926286","1747.44500000088","1385.6700000033015","1099.739999990561","1101.1300000100164","902.4700000009034","1242.1749999921303","1223.8199999992503","682.1700000000419","591.839999993681","995.5550000013318","992.8350000118371","1247.9050000110874","784.5499999966705","862.6549999898998","2148.4099999943282","885.9250000095926","1015.8450000017183","1250.1999999949476","638.8349999906495","2391.970000011497","818.1500000064261","2475.684999997611","1179.1700000030687","2532.3300000018207","1017.8350000060163","1734.2750000098022","902.010000005248","2233.235000006971","3739.929999996093","3099.595000006957","1691.7350000003353","904.6399999933783","774.1000000096392","1743.5950000071898","749.8000000050524","677.5699999998324","863.3049999916693","1505.1300000050105","1587.054999996326","1822.2600000008242","1539.5600000047125","1824.8749999911524","1174.8599999991711","803.8150000065798","1796.9099999900209","2085.7749999995576","1159.8999999987427","1696.5449999988778","963.835000002291","802.7350000047591","2354.9649999913527","1506.0349999985192","1451.2850000028266","1136.6550000093412","3783.6200000019744","1744.6749999944586","2413.7400000035996","3727.6699999929406","2432.4999999953434","1379.335000005085","3085.7400000095367","4658.370000004652","1964.175000000978","1818.2099999976344","1615.7450000027893","1477.3500000010245","1248.5450000094716","2812.019999997574","4802.934999999707","1495.8000000040047"
