"0,1,1","1,0,1","1,1,1","0,1,0","1,0,0","1,1,1","0,0,1","0,0,0","1,1,0","0,0,1","0,1,0","1,1,0","0,1,0","0,0,0","0,0,1","0,0,0","1,1,0","0,0,0","0,0,0","1,0,1","1,1,0","0,1,1","0,1,1","1,0,1","1,1,0","0,0,1","1,1,0","1,0,0","0,0,1","0,0,1","1,0,1","1,0,1","1,0,1","1,0,1","0,1,1","0,0,0","1,0,1","0,0,0","0,1,0","1,1,0","0,1,1","1,0,1","0,1,0","1,1,1","0,1,0","1,1,0","1,1,0","0,1,1","1,0,1","1,0,0","1,0,0","1,0,0","0,0,0","1,0,1","0,1,1","0,0,1","0,1,0","0,1,1","0,0,1","1,0,0","0,0,1","1,1,0","1,0,1","0,0,1","1,0,1","1,0,0","0,0,1","1,0,1","1,0,0","0,1,1","0,0,1","1,0,0","1,1,0","0,1,1","1,0,0","1,1,0","0,0,1","0,1,0","0,0,1","0,0,0","1,0,1","1,0,1","0,1,0","1,1,0","0,1,0","0,0,0","0,1,1","1,0,1","1,0,1","1,0,1","1,0,1","0,1,1","1,0,0","1,1,0","0,0,1","0,0,0","1,0,1","0,1,1","0,0,0","0,1,1","0,1,0","1,0,0","1,0,0","0,0,1","1,1,0","0,1,0","0,0,1","0,0,0","0,0,1","0,0,0","0,0,1","1,0,1","1,0,1","0,1,1","0,0,0","1,0,1","0,1,0","1,0,0","0,1,0","1,0,1","0,0,0","0,0,1","0,0,0","0,0,1","0,0,1","1,0,0","0,0,0","1,1,0","0,0,0","0,0,1","1,1,0","0,1,0","0,1,1","0,0,0","1,1,0","1,0,1","0,1,0","0,1,0","0,1,0","0,1,0","0,0,1","0,1,1","0,1,1","0,1,1","1,0,1","0,0,1","0,1,0","1,0,1","1,1,1","0,0,1","0,1,1","0,0,1","1,0,1","1,1,0","0,0,0","0,1,1","0,1,1","1,0,1","1,0,1","0,0,0","1,1,0","1,0,1","1,1,0","0,1,1","0,1,1","1,0,1","1,0,1","1,0,0","0,1,0","0,0,1","0,1,1","0,0,0","1,0,1","1,1,0","1,1,0","1,0,0","1,1,0","0,1,0","0,0,1","0,0,0","1,0,1","0,0,0","1,0,1","1,0,0","0,0,1","1,0,1","1,1,0","0,0,0","1,0,1","0,1,0","0,1,0","0,0,1","0,0,1","1,1,0","0,1,0","0,1,0","1,0,0","0,1,0","1,0,1","0,0,0","1,0,1","1,0,1","1,1,0","1,0,1","1,1,0","0,0,1","0,1,1","0,0,0","0,0,0","1,0,0","1,1,0","1,1,0","1,0,1","1,1,0","1,0,0","0,0,1","0,1,1","1,1,0","1,1,0","0,1,0","1,1,0","1,0,1","0,1,1","1,0,1","0,1,1","0,0,0","1,0,1","0,0,0","1,1,0","1,0,1","0,0,1","0,0,1","0,1,1","0,1,1","1,1,1","1,0,0","1,0,1","1,0,0","1,0,1","0,1,1","1,1,0","1,0,1","0,0,1","1,1,0","1,1,0","1,0,1","0,0,0","0,1,0","1,0,0","0,0,0","1,0,1","0,0,0","0,0,1","1,1,0","1,1,0","0,0,0","0,1,0","0,1,0","1,1,0","0,1,0","0,1,0","1,0,0","1,1,0","0,1,1","0,0,0","0,1,0","0,0,1","0,0,1","0,1,1","1,0,0","1,1,0","1,0,0","1,1,0","0,1,1","0,0,0","0,1,0","1,0,0","1,0,0","0,0,1","0,1,0","0,1,0","1,0,0","0,1,0","1,1,0","1,0,1","0,0,1","0,1,1","0,0,0","0,1,0","0,1,0","1,0,0","0,1,1","0,0,0","0,0,1","1,1,0","1,0,1","0,0,0","0,0,1","1,0,0","1,0,0"
"1,1,0","1,1,0","1,1,0","0,0,1","1,0,1","1,0,1","1,0,0","1,0,0","0,0,0","1,0,1","0,0,1","1,0,1","0,0,0","0,1,1","0,1,0","0,1,1","1,0,1","1,0,0","1,0,1","0,1,1","1,0,0","1,0,1","1,1,0","1,1,0","0,1,1","1,1,0","1,0,1","0,1,0","0,1,0","0,1,1","0,0,1","0,1,1","0,1,0","1,0,0","1,0,0","0,1,1","1,0,0","0,0,1","1,0,0","1,0,0","1,0,0","0,0,1","1,0,1","1,0,0","1,1,0","0,0,1","1,0,1","1,0,1","0,1,1","1,0,1","1,1,1","0,1,0","0,1,0","1,1,0","1,0,0","1,1,0","1,0,1","1,0,1","1,1,0","0,1,1","1,1,0","0,1,1","0,1,1","1,1,0","1,0,0","0,1,0","1,1,0","1,1,0","1,0,1","1,1,0","1,1,0","0,0,1","0,1,0","0,0,0","0,1,1","1,1,1","1,1,0","1,1,0","1,0,0","1,1,0","1,1,0","0,1,1","1,0,0","0,0,0","0,0,1","0,1,0","0,0,0","1,1,0","0,1,0","1,1,0","0,0,0","0,1,0","0,1,0","1,0,1","0,1,0","1,0,0","0,1,1","0,1,0","1,0,1","0,0,1","0,1,1","0,1,1","0,0,0","0,1,0","0,0,0","0,0,0","0,1,1","1,0,1","1,1,0","0,1,0","1,0,1","0,1,1","1,0,0","0,0,0","1,0,1","1,0,0","1,0,1","0,0,1","1,0,1","0,0,0","1,1,0","1,0,0","1,0,1","0,1,1","1,0,0","1,0,1","1,1,0","1,0,1","1,0,1","1,0,0","0,0,1","0,1,1","1,1,0","1,1,0","0,0,1","0,1,1","0,1,1","1,1,0","1,0,0","0,0,0","0,1,0","1,0,1","1,0,1","1,0,1","0,1,0","1,1,0","0,1,1","0,1,1","0,1,1","1,0,0","1,1,0","1,0,0","0,0,1","1,0,1","1,0,1","1,0,0","0,0,1","0,1,0","0,0,1","1,0,0","1,0,0","0,1,1","0,0,1","1,0,1","0,0,1","1,1,0","1,0,0","0,1,1","1,0,0","0,1,1","0,0,1","0,1,1","0,0,1","0,0,1","1,0,1","1,1,0","0,0,1","1,0,1","0,1,1","1,1,0","0,1,1","1,0,0","0,1,1","1,0,1","1,0,1","0,1,1","1,0,1","0,1,0","0,1,1","0,0,0","1,1,0","0,0,0","0,1,0","1,0,1","1,0,1","0,1,1","0,1,0","1,0,1","1,0,0","0,0,1","1,1,0","1,1,0","1,0,1","0,1,0","1,0,1","0,1,0","1,0,0","0,1,1","0,1,1","0,1,0","0,0,0","1,0,0","1,1,0","0,0,1","1,1,0","0,1,0","1,0,0","0,1,0","0,0,0","1,1,0","0,1,0","0,1,0","0,1,0","0,0,0","0,0,0","0,1,0","0,1,0","1,0,1","1,0,1","1,1,0","0,0,0","1,0,0","0,1,0","0,0,1","1,1,0","1,1,0","1,0,0","0,0,1","0,1,0","1,0,0","1,0,0","1,0,0","0,1,0","0,1,1","0,0,1","0,0,1","1,0,0","1,0,0","0,1,0","1,0,1","1,1,0","0,1,0","0,1,0","0,0,0","1,0,1","0,1,1","1,1,1","0,1,1","1,0,1","1,0,1","0,0,0","1,0,1","1,0,1","1,1,0","0,1,0","0,0,1","0,0,0","0,0,0","0,0,1","1,1,0","0,1,1","0,1,1","0,0,1","1,0,0","0,1,1","0,0,0","1,0,1","0,1,0","0,0,0","0,0,0","0,1,1","0,1,1","0,0,0","1,1,1","1,1,0","0,1,1","1,1,0","0,0,1","1,1,0","1,0,0","0,1,1","1,1,0","0,0,1","1,1,0","0,1,1","0,1,1","1,1,0","1,0,0","1,1,0","0,1,0"
"0,0,0","0,0,0","1,0,0","1,0,0","0,0,1","0,0,1","1,1,0","0,0,1","0,0,1","0,1,0","1,0,0","0,0,1","1,0,1","1,0,0","0,0,0","1,0,1","1,0,0","0,1,1","0,1,1","0,0,0","0,0,1","0,0,1","1,0,0","0,1,0","0,0,1","0,0,0","1,0,0","0,0,0","0,0,0","1,0,1","0,1,1","1,0,0","1,1,0","1,1,0","1,0,1","1,0,0","1,1,0","1,0,0","0,0,1","1,0,1","1,0,1","0,1,1","1,1,0","0,1,0","0,0,1","1,0,1","0,0,1","0,1,0","0,1,0","0,0,0","0,1,1","1,0,1","1,0,0","1,0,0","0,0,1","0,1,1","1,1,0","1,1,0","0,1,0","1,0,1","0,1,0","0,0,0","0,0,0","0,1,0","0,1,1","0,1,1","0,1,1","1,0,0","0,1,0","0,0,0","1,0,1","0,1,0","0,0,1","1,0,0","0,0,1","0,1,0","1,0,0","1,0,0","0,1,1","1,0,1","0,0,0","0,0,1","0,0,0","0,1,1","1,0,1","1,0,1","1,1,0","0,0,1","1,1,0","0,1,1","0,1,0","1,1,0","1,1,0","0,0,1","0,0,0","0,1,0","0,1,0","1,1,0","1,1,0","1,0,1","1,0,1","1,0,1","0,1,0","1,1,0","1,0,1","1,0,1","1,0,1","1,1,0","0,1,1","1,0,1","0,1,1","1,0,0","0,1,0","1,1,0","0,1,1","0,1,1","0,1,1","0,1,1","0,1,1","0,1,1","0,0,1","1,0,1","1,1,0","1,1,0","0,1,0","0,1,0","0,0,1","1,0,0","1,1,0","0,0,0","0,0,0","1,0,0","0,0,0","1,0,1","0,0,0","1,0,0","1,1,0","0,0,1","0,0,0","1,0,1","1,1,0","1,1,1","0,1,0","0,0,1","1,0,0","0,1,1","1,1,0","0,1,0","1,0,0","0,1,0","0,0,1","0,1,1","0,1,0","0,0,1","0,1,0","0,0,0","1,1,0","0,0,0","1,1,0","0,0,1","0,0,1","0,1,0","0,0,0","1,0,0","1,1,1","1,0,0","1,1,0","0,0,0","1,0,1","1,1,0","0,0,0","0,0,1","1,1,0","1,1,1","0,1,0","1,0,1","1,0,0","1,1,0","1,0,0","0,1,1","0,0,1","0,0,1","0,1,0","0,1,0","1,0,0","1,0,0","0,0,1","1,0,1","0,0,0","1,0,1","0,0,1","1,0,1","0,0,0","1,0,0","0,0,0","1,0,1","0,0,0","1,1,0","1,1,0","0,1,0","1,0,0","0,1,1","1,0,0","0,0,0","0,0,1","1,0,0","0,1,0","1,0,1","1,0,1","1,0,1","0,0,1","1,0,1","0,1,1","1,0,0","0,1,1","1,1,0","0,0,0","0,0,1","1,0,1","0,1,1","0,1,1","0,0,1","1,0,1","0,1,0","1,0,0","1,0,0","1,0,0","0,1,1","0,0,1","0,1,1","0,1,0","1,1,0","1,0,1","1,1,0","0,1,0","0,0,1","0,1,0","0,1,0","0,1,1","0,0,1","0,0,1","0,1,1","0,0,0","0,0,0","0,0,0","0,1,0","0,1,1","0,1,1","1,1,1","0,1,1","0,1,0","1,0,1","1,0,1","0,1,1","0,0,0","1,0,1","0,0,1","1,1,1","0,1,1","0,0,0","1,0,1","0,0,1","0,0,0","1,0,0","1,0,0","0,0,0","0,1,0","1,1,0","1,0,1","0,0,1","0,0,1","0,0,1","0,1,1","1,0,1","1,0,0","1,0,0","1,1,0","0,0,1","1,0,0","0,0,1","1,0,1","1,0,1","1,1,0","1,0,0","0,0,0","1,0,1","0,1,0","1,0,0","0,0,0","0,0,1","0,0,1","1,0,0","0,1,0","0,0,0","1,0,0","0,0,0","0,1,0","1,1,0","1,0,1","0,1,1"
"17","93","100","7","76","100","24","0","63","41","12","77","6","0","36","0","73","0","0","87","82","17","16","87","93","2","95","91","1","7","97","96","100","97","9","0","91","0","12","88","12","87","11","100","5","91","100","11","95","77","72","73","0","92","19","8","8","9","9","83","20","98","86","16","86","70","13","76","52","52","28","41","73","46","59","81","24","24","23","0","82","79","23","61","13","0","73","75","80","88","77","69","30","68","37","0","76","65","0","74","32","19","22","46","52","28","40","0","43","0","59","89","82","89","0","88","9","8","16","78","0","75","0","82","82","1","0","16","0","75","29","17","77","0","41","99","2","0","4","13","55","67","60","60","89","43","13","86","100","32","38","19","93","77","0","37","37","95","96","0","75","100","60","36","35","98","97","69","13","16","23","0","91","84","77","63","78","20","19","0","71","0","70","44","34","78","63","0","61","38","33","53","50","58","38","35","30","40","53","0","50","51","69","51","86","18","69","0","0","34","92","93","39","89","38","2","64","98","93","43","79","66","68","51","69","0","65","0","77","51","37","37","79","75","100","23","38","37","38","75","69","41","27","77","70","43","0","70","7","0","29","0","18","72","83","0","58","64","78","71","68","10","66","90","0","64","35","28","95","4","93","15","98","77","0","79","18","10","21","73","71","21","77","97","17","3","78","0","62","61","24","73","0","8","98","27","0","6","18","NaN"
"93","92","93","9","90","94","70","70","0","100","34","82","0","38","4","37","98","76","96","18","76","89","98","90","10","98","96","3","7","8","2","13","0","92","91","6","87","1","88","85","88","1","89","87","92","9","94","95","19","93","100","9","12","91","81","92","92","91","91","17","80","16","20","84","75","13","87","81","73","76","72","30","24","0","41","100","76","70","48","66","64","64","40","0","53","16","0","45","20","31","0","20","24","70","21","43","59","28","70","36","71","81","0","29","0","0","65","82","57","24","79","87","16","0","86","3","91","82","84","0","23","7","82","97","0","87","14","91","94","15","71","86","33","36","59","73","78","14","21","0","12","80","83","97","11","57","52","52","51","55","75","69","26","88","86","63","32","5","32","63","69","39","40","92","29","65","63","31","65","25","7","28","21","16","94","69","22","80","41","77","38","55","58","76","79","60","67","30","68","0","60","0","38","62","62","63","38","60","37","33","75","75","60","49","43","57","31","65","63","52","0","34","86","11","99","64","36","58","0","88","40","34","49","0","0","43","35","58","49","70","0","24","41","25","74","76","31","3","62","25","14","12","65","87","30","37","7","0","76","27","88","72","66","0","34","85","100","78","37","29","0","34","44","67","56","22","0","0","22","85","90","85","2","23","85","0","18","80","0","0","86","79","0","100","97","82","99","5","85","23","76","99","11","92","74","77","96","23","83","NaN"
"0","0","83","84","14","21","76","28","37","0","54","23","94","62","0","95","71","24","19","0","18","6","84","13","7","0","91","0","0","99","5","87","83","95","92","94","96","86","0","97","88","14","93","0","8","100","0","5","5","0","28","91","80","83","13","19","85","100","7","96","5","0","0","11","25","30","30","57","27","0","72","29","27","54","12","28","50","46","52","78","0","43","0","60","87","84","47","55","40","81","23","51","54","32","0","22","24","63","62","62","68","66","32","54","73","72","75","48","68","76","80","13","18","32","94","97","93","92","97","96","77","82","22","18","18","13","86","7","14","0","0","14","0","93","0","27","24","86","0","87","45","100","17","57","46","49","61","14","49","13","25","31","7","23","14","0","68","0","68","26","25","0","0","64","100","63","66","0","87","84","0","20","79","100","6","94","63","84","59","43","9","16","30","24","45","40","37","70","0","62","40","69","0","20","0","65","0","76","84","47","25","74","29","0","14","25","57","49","47","48","8","41","75","36","62","98","0","2","50","55","61","35","51","49","31","23","26","75","23","79","42","63","59","75","52","24","62","60","71","14","31","88","0","0","0","57","93","100","100","90","71","28","34","92","0","42","22","100","85","0","32","24","0","10","10","0","54","72","27","15","7","3","83","28","15","10","100","10","11","14","29","25","99","19","0","21","77","24","0","16","16","27","72","0","26","0","68","94","35","NaN"
"right","middle","middle","right","left","middle","middle","middle","left","middle","right","middle","right","right","right","left","right","middle","left","left","middle","left","right","left","right","middle","right","left","left","right","left","right","right","middle","middle","right","middle","right","middle","middle","middle","left","middle","middle","middle","right","middle","middle","left","left","left","left","right","right","middle","middle","middle","middle","middle","left","middle","left","left","middle","middle","left","right","right","left","middle","right","left","left","right","left","left","right","right","middle","right","left","left","middle","left","right","right","right","left","left","left","left","right","left","middle","right","middle","left","right","middle","right","right","left","left","right","middle","right","right","middle","middle","right","left","right","left","right","middle","left","middle","left","middle","left","right","right","middle","right","middle","middle","middle","middle","middle","left","middle","middle","right","right","middle","left","right","right","right","right","left","middle","middle","middle","left","left","middle","left","left","middle","right","right","left","middle","middle","right","right","left","middle","middle","middle","left","left","right","right","left","left","left","right","right","middle","left","left","left","middle","right","right","middle","middle","middle","left","middle","left","left","right","right","middle","right","left","right","middle","right","left","middle","middle","right","left","middle","left","left","right","left","middle","left","middle","right","middle","middle","middle","right","left","left","left","right","left","left","left","right","left","right","left","left","right","left","right","right","left","right","left","right","left","middle","right","left","middle","right","left","middle","right","middle","middle","left","right","middle","middle","middle","right","right","right","right","left","right","left","right","middle","middle","left","middle","right","left","middle","right","right","middle","middle","left","middle","left","left","middle","left","middle","left","left","middle","left","right","middle","middle","left","left","middle","left","left","middle","middle","middle","right","left","left","middle","right","left","middle","left","middle","middle","right","middle","right"
"false","true","true","true","true","true","true","true","true","true","false","false","true","true","false","false","true","true","false","true","true","false","true","true","false","true","true","true","false","true","true","true","true","false","true","true","true","true","true","true","false","true","true","true","false","true","true","true","true","true","false","true","false","true","true","true","true","true","true","false","true","true","true","false","true","true","false","false","true","true","true","true","true","true","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","true","true","true","true","false","false","false","false","true","false","true","true","false","false","false","false","true","true","false","true","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","true","true","true","true","false","false","true","false","true","false","true","false","true","false","true","true","false","true","false","false","true","true","false","false","false","true","true","true","false","true","true","false","true","false","true","true","false","true","true","true","false","true","false","false","false","true","true","true","true","true","true","false","true","true","true","true","true","false","false","true","true","true","true","true","true","false","true","false","true","true","false","false","false","true","false","true","false","true","false","false","true","false","true","false","true","false","false","true","false","true","false","true","false","false","false","false","true","true","true","true","true","true","true","false","true","false","true","true","false","false","false","true","false","false","false","false","true","true","true","true","true","true","true","false","false","false","true","false","true","true","true","true","false","false","false","false","true","false","false","false","false","true","true","true","true","true","true","true","true","true","true","false","true","true","true","true","false","true","false","true","false","true","false","false","false","false","true","true","true","true","true","true","false"
"0","10","20","30","40","50","60","70","80","90","90","90","100","110","110","110","120","130","130","140","150","150","160","170","170","180","190","200","200","210","220","230","240","240","250","260","270","280","290","300","300","310","320","330","330","340","350","360","370","380","380","390","390","400","410","420","430","440","450","450","460","470","480","480","490","500","500","500","510","520","530","540","550","560","570","580","590","600","600","610","620","620","620","620","630","640","650","660","670","680","690","700","710","710","710","710","710","720","720","730","740","740","740","740","740","750","760","760","770","780","790","790","800","810","810","820","830","830","840","850","850","860","870","870","870","870","870","880","890","900","910","910","910","920","920","930","930","940","940","950","950","960","970","970","980","980","980","990","1000","1000","1000","1000","1010","1020","1030","1030","1040","1050","1050","1060","1060","1070","1080","1080","1090","1100","1110","1110","1120","1120","1120","1120","1130","1140","1150","1160","1170","1180","1180","1190","1200","1210","1220","1230","1230","1230","1240","1250","1260","1270","1280","1290","1290","1300","1300","1310","1320","1320","1320","1320","1330","1330","1340","1340","1350","1350","1350","1360","1360","1370","1370","1380","1380","1380","1390","1390","1400","1400","1410","1410","1410","1410","1410","1420","1430","1440","1450","1460","1470","1480","1480","1490","1490","1500","1510","1510","1510","1510","1520","1520","1520","1520","1520","1530","1540","1550","1560","1570","1580","1590","1590","1590","1590","1600","1600","1610","1620","1630","1640","1640","1640","1640","1640","1650","1650","1650","1650","1650","1660","1670","1680","1690","1700","1710","1720","1730","1740","1750","1750","1760","1770","1780","1790","1790","1800","1800","1810","1810","1820","1820","1820","1820","1820","1830","1840","1850","1860","1870","1880","1880"
"5942.6300000013725","5492.469999997411","1514.5149999989371","2763.8350000015635","1966.9700000013108","3759.9450000016077","1773.8099999987753","11559.164999998757","4123.804999999265","1847.2799999981362","1304.9450000034994","4053.9449999996577","7662.035000001197","2576.3500000030035","2376.9850000026054","3655.0849999985076","2951.085000000603","1452.8500000014901","1723.1199999987439","5127.475000001141","8568.214999999327","1520.4550000016752","2503.8300000014715","10808.78500000108","7639.804999998887","6638.764999999694","2603.8950000001932","2467.799999998533","3101.4800000011746","3836.045000000013","1920.6000000012864","1409.944999999425","4322.069999998348","1298.145000000659","6615.590000001248","1056.7650000011781","560.9650000005786","5039.984999999433","623.1449999977485","548.5100000005332","2681.059999998979","6343.624999997701","3223.2049999984156","1138.7050000012096","3935.205000001588","1916.9950000032259","1416.3049999987998","573.085000000021","682.7400000002235","3320.9900000001653","678.2649999986752","4540.679999998247","1215.2649999989662","6301.185000000289","711.2450000022072","1642.5049999997718","1613.680000002205","708.7600000013481","2030.9350000025006","1794.9950000002282","4556.110000001383","1182.505000000645","1183.1700000002165","1212.03500000044","8149.17499999865","3146.7049999992596","2956.340000000666","1163.3450000008452","1183.4349999990081","1019.6400000022259","1350.4250000005122","847.1400000016438","1435.204999997979","2401.734999999462","1654.1499999984517","3681.8199999979697","849.1950000025099","631.4600000004866","793.5199999992619","6411.929999998363","872.5150000026915","977.804999998596","1163.7899999986403","1179.8750000016298","952.5500000017928","1680.38499999966","1729.1850000001723","1177.2899999995716","913.5849999983911","946.6749999992317","824.6199999994133","1138.9850000014412","4713.070000001579","1730.924999999872","1909.8100000010454","1734.0000000004075","4709.155000000435","3638.1449999972247","1051.9099999983446","974.0199999978649","785.2050000001327","1365.9200000001583","746.9999999994179","901.5900000013062","600.5949999999139","800.1800000019721","794.8949999990873","581.0600000004633","3045.975000000908","1584.405000001425","4622.810000000754","2637.234999998356","1287.0699999984354","1595.4550000024028","1035.8800000031479","1529.5600000027334","505.43499999912456","2669.72000000166","1305.4000000011292","831.8849999996601","1054.3550000002142","816.3350000031642","771.5099999986123","1069.7499999987776","1629.2500000017462","597.3650000014459","6548.015000000305","614.8450000000303","497.82499999855645","2324.8349999993807","503.97499999962747","525.4399999976158","6281.739999998477","954.6099999969592","1970.0750000011176","1695.6099999988219","1153.5000000003492","1298.7250000005588","2965.235000003362","1182.4000000014203","4561.960000002757","1332.5099999965169","503.3499999990454","609.0349999977043","12452.724999999162","4567.879999998724","7372.790000001318","941.1049999980023","875.0899999976391","1246.82499999844","2102.7500000017462","3239.1200000019744","1081.19500000251","790.5850000024075","423.8949999999022","2959.5049999988405","2209.855000001029","1947.6549999999115","964.4300000000512","4247.465000000317","902.5999999976484","4796.664999998058","1397.1300000011688","1680.3900000012945","1151.750000000815","742.4250000003958","977.9499999968102","1099.2799999985145","1778.6100000011502","1117.1450000002515","12193.755000000237","2869.2550000014016","1701.4449999987846","3952.9550000006566","6394.029999999446","1565.9449999984354","4270.850000000792","1559.7699999997858","2268.114999998943","3587.4299999995856","807.4500000001863","856.4399999995949","901.5699999982025","1627.8899999996647","907.5149999989662","1018.864999998128","817.4099999996834","881.0899999989197","958.4299999987707","1008.0699999999488","3238.51499999722","951.9749999999767","3863.6699999988778","1557.925000000978","1215.704999998794","5616.705000000424","1592.3550000006799","982.5450000024866","2772.4049999996787","2528.985000000801","992.2499999993015","1532.1600000024773","584.3499999974156","888.5750000008848","4688.214999998221","2784.344999999972","2725.68500000122","6472.144999999669","991.2949999998091","6098.004999999772","8108.990000000689","2107.639999998384","336.054999999702","1005.2750000031665","3722.1649999992223","1224.935000002035","2257.6049999989336","1488.9699999984587","6424.815000002156","2734.6749999996973","3832.7600000011735","1175.4199999995762","1981.180000002496","1410.844999998575","848.9199999967823","784.7949999995762","1020.3650000003399","389.254999998142","645.6800000013318","524.265000000014","638.4599999982165","8480.400000000373","537.5400000012014","310.5949999989243","324.9949999989476","257.6999999983236","327.7699999999022","242.47500000277068","168.92999999970198","5579.774999998277","756.5350000004983","860.179999999702","2025.5050000014016","695.5799999996088","554.1599999996834","514.3499999976484","811.3549999980023","636.1250000008149","545.6149999990594","1335.1400000029244","625.755000000936","586.749999998603","725.4150000007357","2530.234999998356","1034.270000000135","567.7949999989942","851.5499999994645","602.295000000624","693.7899999975925","1095.3350000018254","659.7150000015972","902.0600000002887","2084.309999998426","687.8649999998743","509.13000000210013","909.9050000004936","924.0600000011036","808.7250000025379","839.4649999972899","738.6700000023702","807.4750000014901","1760.249999999418","596.3450000017183","761.2249999984633","479.81500000238884","748.3549999997485","698.9900000008056","476.69999999925494","6088.169999998994","1066.5900000021793","922.2650000010617","495.5049999989569","2134.5000000001164","729.3700000008103","792.5150000010617","747.009999999078","544.9049999988638","1996.7249999971827","4172.979999999399","545.2899999981746","1492.9899999988265","1255.4199999977136","969.3550000011455","671.9599999997299","825.1100000016158","888.3349999996135","480.9899999999907","717.8500000010245","498.22999999742024","1214.329999998794"
